,Country,Overweight,McR,Pop,McR_Pop,urban,GDP,Year,ID,USA,UK,Spain,Netherlands,Germany,Austria,Italy,y_one,y_two,y_three,y_four,y_five,y_six,y_seven,y_eight
1,USA,67.9,13918,304094000,2.23E-07,80.44,1.46E+13,2008,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,USA,67.8,13980,306771500,2.21E-07,80.61,1.45E+13,2009,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,USA,67.7,14027,309347100,2.19E-07,80.77,1.49E+13,2010,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,USA,68,14098,311721600,2.18E-07,80.94,1.52E+13,2011,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,USA,68.6,14157,314112100,2.18E-07,81.11,1.54E+13,2012,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,USA,69.1,14278,316497500,2.18E-07,81.28,1.58E+13,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,USA,69.6,14350,318857100,2.18E-07,81.45,1.62E+13,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,USA,,,,,,,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,UK,61.4,,60982380,1.01E-06,80.76,4.04E+11,2008,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10,UK,61.3,,61423720,9.98E-07,81.03,3.99E+11,2009,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11,UK,62.8,"1,194",61914640,1.01E-06,81.3,4.06E+11,2010,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12,UK,61.7,1198,62435200,9.88E-07,81.57,4.14E+11,2011,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
13,UK,61.9,"1,214",62858800,9.85E-07,81.83,4.18E+11,2012,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
14,UK,62,"1,229",63237940,9.80E-07,82.09,4.30E+11,2013,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15,UK,63.4,1241,63650010,9.96E-07,82.35,4.43E+11,2014,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16,UK,,"1,261",,,,,2015,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Spain,53.4,,45983170,1.16E-06,77.98,2.77E+11,2008,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18,Spain,57.9,,46367550,1.25E-06,78.21,2.69E+11,2009,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
19,Spain,62.9,415,46562480,1.35E-06,78.44,2.70E+11,2010,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
20,Spain,63.4,428,46736260,1.36E-06,78.67,2.66E+11,2011,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
21,Spain,64.4,444,46766400,1.38E-06,78.9,2.57E+11,2012,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
22,Spain,64.9,465,46593240,1.39E-06,79.13,2.57E+11,2013,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23,Spain,65.6,481,46464050,1.41E-06,79.36,2.62E+11,2014,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24,Spain,,495,,,,,2015,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25,Netherlands,,,16445590,,85.4,1.61E+11,2008,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
26,Netherlands,,,16530390,,86.24,1.57E+11,2009,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
27,Netherlands,57.4,225,16615390,3.45E-06,87.06,1.60E+11,2010,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
28,Netherlands,57.8,228,16693070,3.46E-06,87.84,1.60E+11,2011,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,Netherlands,58.5,233,16754960,3.49E-06,88.58,1.58E+11,2012,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
30,Netherlands,59.1,238,16804430,3.52E-06,89.27,1.59E+11,2013,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31,Netherlands,59.8,241,16860000,3.55E-06,89.91,1.61E+11,2014,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,Netherlands,,245,,,,,2015,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33,Germany,50.9,1333,82110100,6.20E-07,73.98,6.44E+11,2008,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
34,Germany,51.7,1361,81902300,6.31E-07,74.13,6.25E+11,2009,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
35,Germany,57.6,1386,81776930,7.04E-07,74.3,6.53E+11,2010,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
36,Germany,58.4,1415,81039750,7.21E-07,74.45,6.69E+11,2011,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
37,Germany,59.8,1440,80425820,7.44E-07,74.67,6.70E+11,2012,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
38,Germany,60.3,1468,80645610,7.48E-07,74.86,6.79E+11,2013,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,Germany,59.7,1477,81200000,7.35E-07,75.09,6.89E+11,2014,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40,Germany,,1478,,,,,2015,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41,Austria,53.3,,8321541,6.41E-06,65.84,73500000000,2008,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
42,Austria,53.7,,8341483,6.44E-06,65.85,73100000000,2009,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
43,Austria,54.6,174,8361069,6.53E-06,65.85,74500000000,2010,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
44,Austria,55.2,180,8388534,6.58E-06,65.86,75600000000,2011,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
45,Austria,55.7,184,8426311,6.61E-06,65.86,76200000000,2012,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
46,Austria,56.1,196,8468570,6.62E-06,65.88,76800000000,2013,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
47,Austria,56.6,194,8510000,6.65E-06,65.92,76700000000,2014,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
48,Austria,,196,,,,,2015,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
49,Italy,60.6,,59832180,1.01E-06,68.09,4.06E+11,2008,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
50,Italy,61.1,,60192700,1.02E-06,68.21,3.96E+11,2009,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
